Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jenni Kayne,Spring 2008,Feminine,"Gray blazer, green blouse, sequined pencil skirt","Sunglasses, black heels","Tailored, fitted","Chic, sophisticated","Mix of textures, bold accessories"
2,Jenni Kayne,Spring 2008,Feminine,Teal maxi dress,Statement necklace,"Flowy, relaxed","Elegant, classic","Rich color, minimal accessories"
3,Jenni Kayne,Spring 2008,Feminine,"Black top, green skirt","Brown belt, silver bracelets","Straight, elongated","Minimalist, refined","Contrasting textures, subtle accessories"
1,Jenni Kayne,Spring 2008,Feminine,"Black blazer, gray patterned mini dress",Purple strappy sandals,"Tailored, fitted","Chic, modern",Contrasting textures with blazer and dress
2,Jenni Kayne,Spring 2008,Feminine,Blue and white strapless maxi dress,,"Flowy, relaxed","Bohemian, elegant",Bold ikat print
3,Jenni Kayne,Spring 2008,Feminine,"Blue wrap top, olive mini skirt","Black hat, purple heels, sunglasses","Casual, sleek","Urban, trendy",Color blocking with bright top and neutral skirt
1,Jenni Kayne,Spring 2008,Feminine,"Black cropped blazer, blue and white patterned tank top, black trousers",Black sandals,"Tailored, relaxed","Chic, modern",Patterned top adds visual interest
2,Jenni Kayne,Spring 2008,Feminine,"Black leather blazer, white button-up shirt, black shorts","Sunglasses, black sandals","Structured, casual","Edgy, contemporary",Leather blazer contrasts with casual shorts
3,Jenni Kayne,Spring 2008,Feminine,Black patterned mini dress,Black sandals,"Straight, fitted","Minimalist, sleek",Simple yet elegant mini dress
1,Jenni Kayne,Fall 2010,Feminine,"Striped fur jacket, black shirt, black pencil skirt","Black gloves, gray ankle boots","Tailored, fitted","Chic, modern",Monochrome palette with bold stripes
2,Jenni Kayne,Fall 2010,Feminine,"Black short-sleeve dress, navy tights","Green gloves, black ankle boots","Slim, body-hugging","Elegant, minimalist",Simple silhouette with subtle texture
3,Jenni Kayne,Fall 2010,Feminine,"Gray blazer, white shirt, black shorts",Blue heels,"Structured, layered","Sophisticated, smart",Mix of tailored and relaxed pieces
1,Jenni Kayne,Fall 2010,Feminine,Black sleeveless dress,Gray ankle strap heels,Fit and flare,"Chic, classic",Simple elegance with a focus on silhouette
2,Jenni Kayne,Fall 2010,Feminine,"Gray coat with fur collar, dark tights","Brown gloves, black lace-up boots","Straight, structured","Sophisticated, cozy",Textured collar adds interest
3,Jenni Kayne,Fall 2010,Feminine,"Black sleeveless coat, purple pants",Black strappy sandals,"Longline, layered","Modern, bold",Contrast between dark top and bright pants
1,Jenni Kayne,Fall 2010,Feminine,"Gray asymmetrical jacket, gray midi skirt",Black strappy heels,"Fitted, streamlined","Monochrome, modern","Zipper details, cohesive color palette"
2,Jenni Kayne,Fall 2010,Feminine,"Black sleeveless top, dark trousers","Black gloves, black strappy heels","Tailored, sleek","Chic, sophisticated","Textured fabric, bold lip color"
3,Jenni Kayne,Fall 2010,Feminine,"Dark sleeveless blazer, white shirt, dark skirt","Blue gloves, blue tights, blue strappy heels","Structured, layered","Classic, elegant","Contrasting colors, tailored fit"
