Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Yuhan Wang,Spring 2024,Feminine,"White sheer blouse, white bloomers","Straw hat, red shoes","Loose, airy","Romantic, vintage-inspired",Delicate lace details
2,Yuhan Wang,Spring 2024,Feminine,White lace dress,"Straw hat, long gloves","Asymmetrical, draped","Bohemian, ethereal","High slit, intricate lacework"
3,Yuhan Wang,Spring 2024,Feminine,"Floral crop top, floral bloomers",,"Playful, fitted","Whimsical, youthful","Green ribbon accents, floral print"
1,Yuhan Wang,Spring 2024,Feminine,"Lace romper, thigh-high lace stockings",Straw hat with lace ribbon,"Fitted, delicate","Romantic, vintage-inspired","Off-the-shoulder neckline, floral lace pattern"
2,Yuhan Wang,Spring 2024,Feminine,"Lace crop top, lace skirt, thigh-high lace stockings",Straw hat with green ribbon,"Fitted, delicate","Romantic, vintage-inspired","Ruffled sleeves, lace detailing"
3,Yuhan Wang,Spring 2024,Feminine,"Lace bralette, lace shorts, thigh-high lace stockings","Straw hat with lace ribbon, heart pendant necklace","Fitted, delicate","Romantic, vintage-inspired","Lace trim, soft pastel colors"
1,Yuhan Wang,Spring 2024,Feminine,"Beige woven dress with fringe, lace details","Lace socks, black strappy shoes","Asymmetrical, fitted","Textured, deconstructed",Mix of natural fibers and lace
2,Yuhan Wang,Spring 2024,Feminine,"White crop top with teddy bear print, sheer tiered lace skirt",Floral ankle detail,"Flowy, layered","Playful, romantic",Juxtaposition of playful print and delicate lace
3,Yuhan Wang,Spring 2024,Feminine,"Beige woven skirt with fringe, sheer lace top","Lace socks, black strappy shoes","Asymmetrical, fitted","Textured, ethereal",Combination of woven textures and delicate lace
1,Yuhan Wang,Spring 2022,Feminine,"Floral suit, button-up shirt",Floral belt bag,Tailored,"Floral, elegant","Dark floral print, structured suit"
2,Yuhan Wang,Spring 2022,Feminine,Floral off-shoulder dress,Shoulder strap,Voluminous,"Romantic, whimsical","Ruffled details, sheer fabric"
3,Yuhan Wang,Spring 2022,Feminine,"Floral wrap top, asymmetrical skirt",Statement earrings,Asymmetrical,"Eclectic, bold","Mix of prints, lace detailing"
1,Yuhan Wang,Spring 2022,Feminine,"Black satin top, black satin skirt","White lace gloves, floral hairpieces","Draped, fitted","Romantic, vintage",Delicate lace details
2,Yuhan Wang,Spring 2022,Feminine,Lavender lace dress,Floral hairpieces,"Flowy, ethereal","Romantic, floral",Sheer fabric with floral appliqué
3,Yuhan Wang,Spring 2022,Feminine,"Blue lace dress, black embroidered bustier","White lace gloves, floral hairpieces","Layered, airy","Romantic, vintage",Contrasting bustier adds structure
1,Yuhan Wang,Spring 2022,Feminine,Light blue lace dress,"Black floral belt bag, statement earrings","Flowy, layered","Romantic, delicate","Ruffled details, sheer fabric"
2,Yuhan Wang,Spring 2022,Feminine,Off-shoulder floral dress,"Black floral belt, statement earrings","Voluminous, gathered","Romantic, vintage-inspired","Puffed sleeves, floral pattern"
3,Yuhan Wang,Spring 2022,Feminine,White and green embroidered dress,Statement earrings,"Voluminous, gathered","Romantic, vintage-inspired","Contrasting green lace, floral embroidery"
