Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Clements Ribeiro,Spring 2011,Feminine,Floral print dress,Floral platform shoes,"Fitted, knee-length","Bold, floral, graphic",Mix of large floral prints
2,Clements Ribeiro,Spring 2011,Feminine,"Ombre floral top, floral print pants",Floral platform shoes,"Straight-leg, relaxed","Eclectic, floral, gradient","Ombre effect on top, mixed prints"
3,Clements Ribeiro,Spring 2011,Feminine,Floral print dress,Floral platform shoes,"A-line, midi-length","Playful, floral, layered","V-neckline, layered prints"
1,Clements Ribeiro,Spring 2011,Feminine,"Floral print sheer top, white shorts",Platform sandals,"Relaxed, airy","Floral, playful","Bright floral patterns, sheer fabric"
2,Clements Ribeiro,Spring 2011,Feminine,"Yellow sweater with floral detail, floral print skirt",Platform sandals,"Fitted, layered","Bold, vibrant","Contrasting floral prints, bright colors"
3,Clements Ribeiro,Spring 2011,Feminine,Red and white floral dress,Platform sandals,"Flowy, elegant","Romantic, delicate","Gradient floral pattern, soft silhouette"
1,Clements Ribeiro,Spring 2011,Feminine,"White button-up cardigan, floral wide-leg pants",Platform sandals,"Relaxed, flowy","Floral, casual","Bold floral print, minimal top"
2,Clements Ribeiro,Spring 2011,Feminine,"Yellow embellished cardigan, floral shorts",Floral platform sandals,"Loose, casual","Bright, playful","Vibrant color, floral accents"
3,Clements Ribeiro,Spring 2011,Feminine,"Striped sweater with floral appliqué, floral pencil skirt",Floral platform sandals,"Fitted, structured","Mixed patterns, nautical","Stripe and floral mix, bold appliqué"
1,Clements Ribeiro,Spring 2010,Feminine,Striped knit dress,Strappy black heels,"Straight, fitted","Casual, nautical","Monochrome stripes, minimalistic design"
2,Clements Ribeiro,Spring 2010,Feminine,"Striped cardigan, striped top, black cropped pants",Strappy black heels,"Relaxed, layered","Casual, eclectic","Mix of stripes, button details"
3,Clements Ribeiro,Spring 2010,Feminine,"Argyle cardigan, black skirt",Patterned platform heels,"Fitted, classic","Preppy, retro","Deep V-neck, belted waist"
1,Clements Ribeiro,Spring 2010,Feminine,"Striped cardigan, black lace top, geometric skirt",Strappy heels,"Fitted, knee-length","Eclectic, graphic","Mix of patterns, bold hairstyle"
2,Clements Ribeiro,Spring 2010,Feminine,"White button-up cardigan, geometric skirt",Strappy heels,"A-line, knee-length","Monochrome, graphic","Contrasting patterns, bold makeup"
3,Clements Ribeiro,Spring 2010,Feminine,"Navy jacket, cat print top, black shorts",Strappy heels,"Relaxed, casual","Playful, graphic","Cat motif, bold hairstyle"
1,Clements Ribeiro,Spring 2010,Feminine,"Black embellished top, striped skirt","Black belt, platform sandals","Straight, knee-length","Playful, graphic","High hair, bold eye makeup"
2,Clements Ribeiro,Spring 2010,Feminine,"Pink camisole, black cardigan, striped skirt","Black belt, platform sandals","Straight, knee-length","Casual, chic","High bun, minimal makeup"
3,Clements Ribeiro,Spring 2010,Feminine,Pink and black dress with cat motif,Platform sandals,"Straight, knee-length","Whimsical, quirky","High bun, bold eye makeup"
