Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Diane von Furstenberg,Spring 2023,Feminine,"Printed wrap top, matching pants","Gold chain necklace, large hoop earrings","Relaxed, fitted","Bold, graphic","Monochrome pattern, casual elegance"
2,Diane von Furstenberg,Spring 2023,Feminine,Floral wrap dress,"Red pendant necklace, small hoop earrings","Flowy, fitted","Romantic, natural","Floral print, outdoor setting"
3,Diane von Furstenberg,Spring 2023,Feminine,"Geometric top, floral dress","Gold hoop earrings, layered necklaces","Fitted, layered","Eclectic, vintage-inspired","Mix of patterns, off-the-shoulder detail"
1,Diane von Furstenberg,Spring 2023,Feminine,Green patterned dress,"Gold chain necklace, gold earrings","Fitted bodice, flowing skirt","Vintage-inspired, geometric","Bold print, classic DVF wrap style"
2,Diane von Furstenberg,Spring 2023,Feminine,Blue floral wrap dress,"Heart pendant necklace, beaded bracelets","Relaxed, flowing","Bohemian, colorful","Floral patterns, mixed prints"
3,Diane von Furstenberg,Spring 2023,Feminine,Yellow maxi dress with lace details,"Statement earrings, bracelets","Flowing, tiered","Romantic, ethereal","Soft textures, sunny color palette"
1,Diane von Furstenberg,Spring 2023,Feminine,Pink floral dress,Gold bracelet,A-line,"Floral, romantic","Bright floral pattern, short sleeves"
2,Diane von Furstenberg,Spring 2023,Feminine,Blue floral dress,"Drop earrings, bracelet",A-line,"Elegant, sophisticated","Bold blue floral print, collared neckline"
3,Diane von Furstenberg,Spring 2023,Feminine,"Blue suit, black floral dress","Necklaces, rings","Tailored, flowy","Chic, modern","Contrasting styles, tailored suit with flared pants, floral wrap dress"
1,Diane von Furstenberg,Spring 2008,Feminine,Sheer pink dress,"Floral hair accessory, colorful necklace","Flowy, airy","Romantic, delicate","Soft fabric, pastel color"
2,Diane von Furstenberg,Spring 2008,Feminine,"Sheer white blouse, white wide-leg pants",Floral hair accessory,"Relaxed, elegant","Minimalist, chic","Monochrome look, sheer layering"
3,Diane von Furstenberg,Spring 2008,Feminine,Brown and white patterned dress,"Oversized sunglasses, bracelet, clutch","A-line, casual","Bohemian, effortless","Bold print, summer vibe"
1,Diane von Furstenberg,Spring 2008,Feminine,"White short-sleeve jacket, white wide-leg pants","Patterned headscarf, long necklace","Relaxed, flowing","Safari-inspired, elegant","Neutral palette, casual chic"
2,Diane von Furstenberg,Spring 2008,Feminine,"Black short-sleeve jacket, black wide-leg pants","White flower hair accessory, bracelet","Tailored, sleek","Minimalist, sophisticated","Monochrome look, clean lines"
3,Diane von Furstenberg,Spring 2008,Feminine,Black strapless dress,White flower hair accessory,"Voluminous, draped","Bohemian, romantic","Flowing fabric, asymmetrical hem"
1,Diane von Furstenberg,Spring 2008,Feminine,Printed maxi dress,Wide-brim hat,"Flowy, relaxed","Bohemian, resort","Bold print, casual elegance"
2,Diane von Furstenberg,Spring 2008,Feminine,Sleeveless printed dress,"Headband, long necklace","A-line, layered","Tribal, eclectic","Geometric patterns, layered hem"
3,Diane von Furstenberg,Spring 2008,Feminine,"Short-sleeve jacket, shorts","Headscarf, sunglasses","Boxy, tailored","Safari, chic","Neutral tones, structured fit"
1,Diane von Furstenberg,Spring 2012,Feminine,White wrap dress,"Silver bracelet, strappy sandals","A-line, cinched waist","Elegant, classic","Deep neckline, voluminous skirt"
2,Diane von Furstenberg,Spring 2012,Feminine,White lace dress with mint underlay,Strappy sandals,"Straight, relaxed","Delicate, modern","Sheer lace, subtle layering"
3,Diane von Furstenberg,Spring 2012,Feminine,"White lace top, sheer jacket, sheer pants",Strappy sandals,"Relaxed, layered","Chic, airy","Sheer fabrics, floral lace"
1,Diane von Furstenberg,Spring 2012,Feminine,"White sheer blouse, white pleated skirt","White clutch, white ankle strap heels","A-line, flowy","Elegant, airy","Sheer fabric, monochrome white"
2,Diane von Furstenberg,Spring 2012,Feminine,"Beige draped dress, white underlayer",Nude platform heels,"Loose, draped","Relaxed, sophisticated","Soft draping, neutral tones"
3,Diane von Furstenberg,Spring 2012,Feminine,"Beige shift dress, white underlayer","Brown clutch, grey ankle strap heels","Straight, structured","Chic, modern","Contrasting collar, layered hem"
1,Diane von Furstenberg,Spring 2012,Feminine,"Draped sleeveless top, color-blocked skirt","White shoulder bag, strappy sandals","Fitted, flowy","Elegant, modern","Soft draping, color-blocking"
2,Diane von Furstenberg,Spring 2012,Feminine,"Blue sleeveless top, brown trousers","White shoulder bag, strappy sandals","Relaxed, tailored","Chic, contemporary","Bold color contrast, casual elegance"
3,Diane von Furstenberg,Spring 2012,Feminine,"Brown sleeveless vest, blue top, wrap skirt","White sunglasses, white peep-toe heels","Structured, sleek","Sophisticated, stylish","Geometric shapes, bold accessories"
1,Diane von Furstenberg,Fall 2011,Feminine,Black and white patterned wrap dress,"Black hat, gold bracelet","Fitted, wrap","Bold, graphic","Deep V-neck, monochrome pattern"
2,Diane von Furstenberg,Fall 2011,Feminine,"Black dress, leather jacket","Clutch, belt","Structured, sleek","Edgy, modern","Leather accents, slit skirt"
3,Diane von Furstenberg,Fall 2011,Feminine,Red dress,"Black hat, gold bangles","Flowy, relaxed","Chic, elegant","Deep V-neck, bold color"
1,Diane von Furstenberg,Fall 2011,Feminine,"Red blouse, black skirt","Gold bracelet, black boots","Fitted top, A-line skirt","Chic, elegant","Deep V-neck, layered sleeves"
2,Diane von Furstenberg,Fall 2011,Feminine,Patterned dress,"Matching bag, gray boots","Loose, flowing","Graphic, bold",Black and beige heart pattern
3,Diane von Furstenberg,Fall 2011,Feminine,Striped dress,"Clutch, gray boots","Asymmetrical, fitted","Dramatic, modern",Diagonal stripes with metallic accents
1,Diane von Furstenberg,Fall 2011,Feminine,"Black fringe jacket, sheer lace top, high-waisted trousers",Black belt,"Tailored, flowing","Chic, sophisticated","Fringe details, sheer elements"
2,Diane von Furstenberg,Fall 2011,Feminine,"Black blouse, geometric print skirt, patterned coat","Large round sunglasses, black belt","Structured, bold","Graphic, eclectic","Mix of patterns, oversized sunglasses"
3,Diane von Furstenberg,Fall 2011,Feminine,"Ruffled top, wide-leg trousers","Wide-brimmed hat, black belt","Dramatic, voluminous","Romantic, dramatic","Ruffle details, statement hat"
